Call ID,Call Date,Call Time,Time Answered,Agent ID,Restaurant ID,Covers Booked,Booking Contact Name,Call Outcome,
1,2023-11-01,13:56:45,13:57:02,9,rest030,1,Leisha Buick,Booking completed,
2,2023-11-01,15:57:35,15:57:51,10,rest011,1,Kurt Vyvyan,Booking completed,
3,2023-11-01,13:57:29,13:58:13,20,rest023,1,Meg Nerger,Booking completed,
4,2023-11-01,18:55:43,18:56:17,23,rest027,1,Jessica Bramsom,Booking completed,
5,2023-11-01,18:01:47,18:02:03,9,rest030,1,Jenny Gommey,Booking completed,
6,2023-11-01,18:18:10,18:18:34,24,rest019,1,Rebekah Adamec,Booking completed,
7,2023-11-01,14:22:10,14:22:53,21,rest006,1,Pandora Poskitt,Booking completed,
8,2023-11-01,13:22:56,13:23:21,6,rest020,1,Nancey Degli Abbati,Booking completed,
9,2023-11-01,20:40:13,20:40:31,7,rest025,1,Coral Ingerfield,Booking completed,
10,2023-11-01,14:29:08,14:29:53,15,rest030,1,Betty Preto,Booking completed,
11,2023-11-01,11:40:11,11:40:39,5,rest037,1,Ibby Stock,Booking completed,
12,2023-11-01,17:10:33,17:10:41,12,rest033,1,Bret Burbury,Booking completed,
13,2023-11-01,14:46:21,14:46:34,9,rest017,1,Auroora Empson,Booking completed,
14,2023-11-01,09:46:50,09:47:33,14,rest013,1,Zacharie Congrave,Booking completed,
15,2023-11-01,10:06:06,10:06:48,14,rest033,1,Goldy Stickins,Booking completed,
16,2023-11-01,15:18:33,15:18:47,14,rest002,1,Margit Sloper,Booking completed,
17,2023-11-01,09:24:07,09:24:28,10,rest004,1,Jaquelin Eseler,Booking completed,
18,2023-11-01,11:51:44,11:51:53,16,rest002,1,Jordain Fitzsimons,Booking completed,
19,2023-11-01,12:23:35,12:23:38,18,rest004,1,Evita Lyne,Booking completed,
20,2023-11-01,11:43:10,11:43:51,18,rest018,1,Ingrim Royse,Booking completed,
21,2023-11-01,17:42:11,17:42:42,22,rest024,1,Germaine Mark,Booking completed,
22,2023-11-01,14:50:53,14:51:20,5,rest008,1,Barnett Pichmann,Booking completed,
23,2023-11-01,19:42:33,19:43:11,11,rest036,1,Danica Thirst,Booking completed,
24,2023-11-01,12:46:38,12:46:54,14,rest029,1,Elvin Ivushkin,Booking completed,
25,2023-11-01,15:05:54,15:06:34,10,rest015,1,Leeann Semiraz,Booking completed,
26,2023-11-01,16:01:03,16:01:31,8,rest034,1,Gerald Schwandermann,Booking completed,
27,2023-11-01,16:30:46,16:31:18,13,rest038,1,Moreen Harcus,Booking completed,
28,2023-11-01,14:40:25,14:40:34,17,rest026,1,Denyse Shuttle,Booking completed,
29,2023-11-01,14:55:26,14:55:51,9,rest021,1,Olivier Raeside,Booking completed,
30,2023-11-01,15:00:57,15:01:29,7,rest015,1,Baily Rysom,Booking completed,
31,2023-11-01,20:08:46,20:09:04,16,rest027,1,Elianora Hinchon,Booking completed,
32,2023-11-01,14:55:16,14:55:56,20,rest004,1,Jason Paske,Booking completed,
33,2023-11-01,14:13:44,14:13:57,9,rest014,1,Hieronymus Lukins,Booking completed,
34,2023-11-01,18:57:21,18:57:33,15,rest037,1,Giffer Wilby,Booking completed,
35,2023-11-01,08:56:14,08:56:41,16,rest023,1,Demetrius Scrogges,Booking completed,
36,2023-11-01,09:24:20,09:25:04,21,rest001,1,Reina Sollom,Booking completed,
37,2023-11-01,12:18:41,12:19:21,21,rest011,1,Cherice Phettiplace,Booking completed,
38,2023-11-01,17:53:37,17:54:07,10,rest035,1,Ketti Gaitley,Booking completed,
39,2023-11-01,11:59:16,11:59:18,20,rest017,1,Timoteo Alvey,Booking completed,
40,2023-11-01,16:41:22,16:42:02,7,rest004,1,Madelon Boliver,Booking completed,
41,2023-11-01,10:37:40,10:38:00,16,rest010,1,Lorant D'Avaux,Booking completed,
42,2023-11-01,16:05:44,16:05:47,16,rest012,1,Harrie Aikenhead,Booking completed,
43,2023-11-01,10:07:55,10:08:04,22,rest014,1,Jourdan Stener,Booking completed,
44,2023-11-01,09:57:36,09:57:48,15,rest037,1,Parker Ayrton,Booking completed,
45,2023-11-01,09:55:07,09:55:42,16,rest023,1,Monte Clemson,Booking completed,
46,2023-11-01,10:44:46,10:44:54,24,rest026,1,Sloane Arons,Booking completed,
47,2023-11-01,13:48:27,13:48:30,15,rest010,1,Maison Tern,Booking completed,
48,2023-11-01,16:56:43,16:57:01,7,rest023,1,Richmond Kaasmann,Booking completed,
49,2023-11-01,20:06:49,20:06:51,7,rest017,1,Celestine Floch,Booking completed,
50,2023-11-01,11:21:20,11:22:04,17,rest007,1,Christean Shallow,Booking completed,
51,2023-11-01,17:03:15,17:03:51,11,rest027,1,Colette MacNucator,Booking completed,
52,2023-11-01,15:10:55,15:11:24,6,rest020,1,Tilda Toke,Booking completed,
53,2023-11-01,14:01:17,14:01:59,5,rest011,1,Portie Summerskill,Booking completed,
54,2023-11-01,18:29:37,18:29:51,22,rest031,1,Faber Zorener,Booking completed,
55,2023-11-01,11:18:45,11:18:46,12,rest001,1,Merrile Facer,Booking completed,
56,2023-11-01,10:59:08,10:59:32,21,rest038,1,Marsiella McCurdy,Booking completed,
57,2023-11-01,13:06:40,13:07:20,24,rest038,1,Glen Bennit,Booking completed,
58,2023-11-01,11:29:52,11:30:34,23,rest015,1,Egan Beaulieu,Booking completed,
59,2023-11-01,16:55:05,16:55:44,11,rest035,1,Filberte Corran,Booking completed,
60,2023-11-01,09:04:40,09:05:01,21,rest005,1,Hi Domegan,Booking completed,
61,2023-11-01,13:58:28,13:59:13,8,rest002,1,Belia Dunster,Booking completed,
62,2023-11-01,17:40:11,17:40:21,5,rest002,1,Aubine Ashton,Booking completed,
